gender,age_group,edu_level,personal_income,ai_use_rate,avg_use_time_min,leisure_score,utility_score
여성,50~59,고등학교,200만원 ~ 300만원,9.775,37.78,2.6301012249999998,3.882686896
남성,30~39,고등학교,300만원 ~ 400만원,13.725,38.8575,1.9998342985,3.00730444025
남성,40~49,4년제이상 대학,200만원 ~ 300만원,13.4,38.305,1.8706857794999998,2.87935739375
남성,40~49,4년제이상 대학,소득없음,13.975,44.9325,2.1875877402499997,3.242783653
남성,40~49,4년제이상 대학,400만원 ~ 500만원,13.0,38.265,3.2693879072499996,4.7546072832499995
여성,40~49,4년제이상 대학,200만원 ~ 300만원,13.0,37.8225,1.9647890154999998,2.9532751932499997
남성,30~39,4년제이상 대학,소득없음,15.624999999999998,45.12,1.99972785825,2.85575928125
여성,50~59,고등학교,300만원 ~ 400만원,10.625,37.245000000000005,2.55995836775,3.82634201225
여성,40~49,4년제이상 대학,300만원 ~ 400만원,13.85,37.287499999999994,1.8946461582499998,2.8969303094999996
여성,60이상,"2,3년제 전문대학",300만원 ~ 400만원,10.475,36.105000000000004,4.26920883875,6.098958287
여성,60이상,고등학교,300만원 ~ 400만원,9.575,36.394999999999996,4.07600616275,5.82021354
여성,50~59,"2,3년제 전문대학",200만원 ~ 300만원,10.675,37.49,2.823303901,4.161431643
남성,16~19,4년제이상 대학,100만원 ~ 200만원,13.575000000000001,46.655,5.77074256325,8.75386929175
남성,50~59,고등학교,소득없음,10.75,44.89,2.8528999497500003,4.1721953557500004
여성,30~39,4년제이상 대학,200만원 ~ 300만원,14.65,38.01,1.7769291335,2.5662508215
남성,60이상,고등학교,100만원 ~ 200만원,8.325,42.3175,6.3148791165,9.64744388875
여성,20~29,4년제이상 대학,200만원 ~ 300만원,15.0,40.9875,1.76900072175,2.52598145775
여성,40~49,고등학교,300만원 ~ 400만원,11.675,38.1875,2.2817974165,3.4682466114999997
여성,60이상,고등학교,300만원 ~ 400만원,9.575,36.394999999999996,4.07600616275,5.82021354
남성,50~59,4년제이상 대학,소득없음,12.924999999999999,43.989999999999995,2.4657486915,3.60087905375
여성,50~59,고등학교,200만원 ~ 300만원,9.775,37.78,2.6301012249999998,3.882686896
여성,16~19,고등학교,200만원 ~ 300만원,11.8,42.1675,3.989163725,5.55430012875
남성,50~59,4년제이상 대학,300만원 ~ 400만원,13.2,36.8275,2.0787038735,3.1811079107499998
여성,40~49,4년제이상 대학,300만원 ~ 400만원,13.85,37.287499999999994,1.8946461582499998,2.8969303094999996
여성,40~49,"2,3년제 전문대학",200만원 ~ 300만원,11.725,38.432500000000005,2.5451429497499998,3.80333624225
남성,50~59,고등학교,300만원 ~ 400만원,11.025,37.7275,2.46585513175,3.75242421275
남성,20~29,고등학교,소득없음,13.799999999999999,48.997499999999995,2.3789507047500003,3.3868062195
남성,20~29,고등학교,200만원 ~ 300만원,13.225,42.37,2.062048744,3.0233799602499998
여성,16~19,고등학교,소득없음,12.375,48.794999999999995,4.30606568575,5.917726388
여성,60이상,고등학교,소득없음,9.3,43.5575,4.46305098075,6.239984682999999
여성,50~59,4년제이상 대학,200만원 ~ 300만원,11.950000000000001,36.88,2.24294996675,3.311370594
여성,50~59,"2,3년제 전문대학",200만원 ~ 300만원,10.675,37.49,2.823303901,4.161431643
남성,20~29,고등학교,300만원 ~ 400만원,14.075,41.834999999999994,1.99190588675,2.9670350764999998
남성,50~59,고등학교,200만원 ~ 300만원,10.175,38.2625,2.535997989,3.8087690965
여성,50~59,고등학교,200만원 ~ 300만원,9.775,37.78,2.6301012249999998,3.882686896
여성,40~49,4년제이상 대학,300만원 ~ 400만원,13.85,37.287499999999994,1.8946461582499998,2.8969303094999996
여성,60이상,4년제이상 대학,300만원 ~ 400만원,11.75,35.495000000000005,3.6888549045000003,5.2488972380000005
남성,50~59,중졸이하,200만원 ~ 300만원,10.15,43.1175,10.0850495965,16.51593354475
여성,50~59,고등학교,소득없음,10.35,44.4075,2.94700318575,4.246113155250001
남성,50~59,4년제이상 대학,200만원 ~ 300만원,12.35,37.3625,2.14884673075,3.2374527945
여성,50~59,고등학교,소득없음,10.35,44.4075,2.94700318575,4.246113155250001
여성,40~49,대학원 이상,300만원 ~ 400만원,14.1,56.875,16.440318719,20.00249439225
여성,50~59,4년제이상 대학,200만원 ~ 300만원,11.950000000000001,36.88,2.24294996675,3.311370594
여성,20~29,고등학교,400만원 ~ 500만원,12.425,41.8475,3.5548541077499998,4.97254764925
남성,40~49,4년제이상 대학,300만원 ~ 400만원,14.25,37.769999999999996,1.8005429222499998,2.82301251
남성,20~29,고등학교,400만원 ~ 500만원,12.825,42.33,3.46075087175,4.89862984975
남성,20~29,4년제이상 대학,300만원 ~ 400만원,16.25,40.935,1.6047546285,2.3957187745
여성,20~29,중졸이하,200만원 ~ 300만원,12.8,46.7425,9.7052035875,15.804462208
남성,40~49,4년제이상 대학,소득없음,13.975,44.9325,2.1875877402499997,3.242783653
여성,60이상,4년제이상 대학,300만원 ~ 400만원,11.75,35.495000000000005,3.6888549045000003,5.2488972380000005
여성,30~39,고등학교,200만원 ~ 300만원,12.475,38.91,2.1640803917499998,3.1375671234999998
여성,50~59,4년제이상 대학,700만원 이상,12.5,41.03,35.01328329175,69.1765905335
남성,40~49,"2,3년제 전문대학",100만원 ~ 200만원,11.325,43.82,4.71387304625,7.57422170725
남성,30~39,4년제이상 대학,200만원 ~ 300만원,15.049999999999999,38.4925,1.6828258975,2.492333022
여성,50~59,고등학교,200만원 ~ 300만원,9.775,37.78,2.6301012249999998,3.882686896
남성,40~49,고등학교,200만원 ~ 300만원,11.225,39.205,2.25783703775,3.45067369575
남성,16~19,고등학교,400만원 ~ 500만원,11.8,42.61,5.29376261675,7.35563221875
