gender,age_group,edu_level,personal_income,avg_use_time_min,leisure_score,utility_score
남성,30~39,4년제이상 대학,200만원 ~ 300만원,38.4925,1.6828258975,2.492333022
남성,20~29,4년제이상 대학,300만원 ~ 400만원,40.935,1.6047546285,2.3957187745
여성,60이상,4년제이상 대학,400만원 ~ 500만원,35.99,5.1576998895,7.18049201125
여성,20~29,4년제이상 대학,소득없음,47.614999999999995,2.0859026825,2.889407717
남성,20~29,고등학교,400만원 ~ 500만원,42.33,3.46075087175,4.89862984975
남성,50~59,고등학교,200만원 ~ 300만원,38.2625,2.535997989,3.8087690965
남성,30~39,고등학교,200만원 ~ 300만원,39.3925,2.06997715575,3.063649324
여성,40~49,중졸이하,200만원 ~ 300만원,43.5775,9.90099188125,16.2317559435
남성,40~49,고등학교,소득없음,45.8325,2.5747389985,3.814099955
여성,20~29,"2,3년제 전문대학",200만원 ~ 300만원,41.597500000000004,6.553996962537745,0.6120099540583328
여성,40~49,고등학교,소득없음,45.35,2.6688422345,3.8880177545
남성,50~59,4년제이상 대학,300만원 ~ 400만원,36.8275,8.22450764617937,0.0
여성,20~29,4년제이상 대학,500만원 ~ 600만원,44.14,0.08740625909880784,17.049769904512868
여성,60이상,"2,3년제 전문대학",200만원 ~ 300만원,36.64,4.339351696,6.15530317075
남성,50~59,고등학교,300만원 ~ 400만원,37.7275,2.46585513175,3.75242421275
남성,50~59,4년제이상 대학,300만원 ~ 400만원,36.8275,2.0787038735,3.1811079107499998
여성,16~19,4년제이상 대학,300만원 ~ 400만원,40.7325,0.0,18.47225350350906
여성,40~49,"2,3년제 전문대학",300만원 ~ 400만원,37.8975,10.044399179809218,0.0
남성,40~49,4년제이상 대학,소득없음,44.9325,0.0,18.197465811158843
여성,40~49,4년제이상 대학,200만원 ~ 300만원,37.8225,1.9647890154999998,2.9532751932499997
여성,60이상,4년제이상 대학,400만원 ~ 500만원,35.99,5.1576998895,7.18049201125
여성,50~59,4년제이상 대학,300만원 ~ 400만원,36.345,5.743178248662201,0.0
남성,50~59,4년제이상 대학,100만원 ~ 200만원,42.2675,0.34843065454688116,23.432357374136934
여성,60이상,"2,3년제 전문대학",100만원 미만,37.765,7.178793118810284,27.136667160305002
남성,30~39,4년제이상 대학,200만원 ~ 300만원,38.4925,1.6828258975,2.492333022
남성,40~49,고등학교,소득없음,45.8325,0.0,12.134903917660687
남성,16~19,4년제이상 대학,300만원 ~ 400만원,41.215,3.4377663735,4.8527211435
여성,50~59,4년제이상 대학,100만원 ~ 200만원,41.785000000000004,19.001779337374323,1.1531848502105877
남성,40~49,고등학교,200만원 ~ 300만원,39.205,2.25783703775,3.45067369575
여성,20~29,고등학교,300만원 ~ 400만원,41.35249999999999,11.15719806732379,0.0
남성,16~19,"2,3년제 전문대학",200만원 ~ 300만원,42.36000000000001,4.088263165,5.75912707625
여성,30~39,"2,3년제 전문대학",400만원 ~ 500만원,38.58,3.7559851955,5.2915617600000004
여성,50~59,4년제이상 대학,소득없음,43.5075,2.5598519275,3.67479685325
남성,50~59,4년제이상 대학,300만원 ~ 400만원,36.8275,2.0787038735,3.1811079107499998
여성,30~39,4년제이상 대학,소득없음,44.637499999999996,2.09383109425,2.9296770807500003
남성,50~59,고등학교,소득없음,44.89,2.8528999497500003,4.1721953557500004
여성,50~59,4년제이상 대학,300만원 ~ 400만원,36.345,0.3868065947841899,11.799273022129732
남성,40~49,고등학교,700만원 이상,43.355000000000004,35.02817036275,69.31589363525
여성,40~49,4년제이상 대학,100만원 ~ 200만원,42.7275,4.227622348,6.79807845775
남성,16~19,고등학교,400만원 ~ 500만원,42.61,5.29376261675,7.35563221875
남성,60이상,4년제이상 대학,200만원 ~ 300만원,36.5125,0.0,16.178737781315455
남성,20~29,4년제이상 대학,300만원 ~ 400만원,40.935,0.0,13.87081224699152
남성,50~59,"2,3년제 전문대학",300만원 ~ 400만원,37.4375,0.0,12.0130569303459
남성,40~49,"2,3년제 전문대학",100만원 ~ 200만원,43.82,4.71387304625,7.57422170725
여성,50~59,4년제이상 대학,소득없음,43.5075,0.0,14.670329454559763
여성,40~49,4년제이상 대학,200만원 ~ 300만원,37.8225,12.5889248452938,0.0
여성,30~39,4년제이상 대학,300만원 ~ 400만원,37.474999999999994,0.0,13.178410774776905
남성,30~39,4년제이상 대학,300만원 ~ 400만원,37.957499999999996,1.6126830402499999,2.43598813825
남성,50~59,고등학교,400만원 ~ 500만원,38.2225,13.008995455223136,1.1344930947284748
여성,30~39,"2,3년제 전문대학",400만원 ~ 500만원,38.58,0.0,17.72289924228717
여성,50~59,4년제이상 대학,600만원 ~ 700만원,35.852500000000006,30.99220837511664,18.464310635249426
남성,20~29,"2,3년제 전문대학",300만원 ~ 400만원,41.545,0.0,12.811127047394468
남성,20~29,고등학교,소득없음,48.997499999999995,18.45377581643169,0.0
남성,50~59,고등학교,300만원 ~ 400만원,37.7275,0.0,11.24351888487933
여성,16~19,중졸이하,200만원 ~ 300만원,47.0225,6.270784309340579,31.17293806753909
여성,20~29,4년제이상 대학,300만원 ~ 400만원,40.4525,1.6988578644999999,2.469636574
남성,60이상,4년제이상 대학,300만원 ~ 400만원,35.977500000000006,0.024117149575601626,14.963886627173537
여성,40~49,대학원 이상,300만원 ~ 400만원,56.875,25.33012499528443,9.543381626352144
남성,20~29,4년제이상 대학,300만원 ~ 400만원,40.935,1.6047546285,2.3957187745
남성,30~39,고등학교,소득없음,46.02,2.3868791165000003,3.42707558325
여성,30~39,4년제이상 대학,200만원 ~ 300만원,38.01,10.871485923096158,0.0
여성,60이상,4년제이상 대학,100만원 ~ 200만원,40.935,0.0,14.903258685816645
남성,40~49,고등학교,소득없음,45.8325,2.5747389985,3.814099955
남성,30~39,고등학교,300만원 ~ 400만원,38.8575,1.9998342985,3.00730444025
여성,16~19,고등학교,200만원 ~ 300만원,42.1675,11.783531575845046,0.0
여성,40~49,4년제이상 대학,300만원 ~ 400만원,37.287499999999994,0.0,13.511420144407746
