gender,age_group,edu_level,personal_income,avg_use_time_min,leisure_score,utility_score,cluster,classified_type,daily_prompt_count,total_power_consumed,total_cooling_consumed,total_carbon_emission,total_water_footprint
남성,30~39,4년제이상 대학,200만원 ~ 300만원,38.4925,1.6828258975,2.492333022,0,Unclassified,25.661666666666665,0.1283083333333333,12830.833333333332,5.440273333333332e-05,128.30833333333334
남성,20~29,4년제이상 대학,300만원 ~ 400만원,40.935,1.6047546285,2.3957187745,0,Unclassified,27.290000000000003,0.13645,13645.000000000002,5.7854799999999994e-05,136.45000000000002
여성,60이상,4년제이상 대학,400만원 ~ 500만원,35.99,5.1576998895,7.18049201125,0,Utilitarian,23.993333333333336,0.1199666666666666,11996.666666666668,5.0865866666666636e-05,119.96666666666668
여성,20~29,4년제이상 대학,소득없음,47.615,2.0859026825,2.889407717,2,Unclassified,31.743333333333336,0.1587166666666666,15871.666666666668,6.729586666666664e-05,158.71666666666667
남성,20~29,고등학교,400만원 ~ 500만원,42.33,3.46075087175,4.89862984975,0,Unclassified,28.22,0.1411,14110.0,5.98264e-05,141.1
남성,50~59,고등학교,200만원 ~ 300만원,38.2625,2.535997989,3.8087690965,0,Unclassified,25.508333333333336,0.1275416666666667,12754.166666666668,5.407766666666668e-05,127.54166666666669
남성,30~39,고등학교,200만원 ~ 300만원,39.3925,2.06997715575,3.063649324,0,Unclassified,26.261666666666667,0.1313083333333333,13130.833333333334,5.567473333333332e-05,131.30833333333334
여성,40~49,중졸이하,200만원 ~ 300만원,43.5775,9.90099188125,16.2317559435,2,Strong Utilitarian,29.051666666666662,0.1452583333333333,14525.833333333332,6.158953333333332e-05,145.25833333333333
남성,40~49,고등학교,소득없음,45.8325,2.5747389985,3.814099955,2,Unclassified,30.555000000000003,0.152775,15277.500000000002,6.477659999999999e-05,152.77500000000003
여성,20~29,"2,3년제 전문대학",200만원 ~ 300만원,41.5975,6.553996962537745,0.6120099540583328,1,Strong Overconsuming,27.731666666666666,0.1386583333333333,13865.833333333332,5.879113333333331e-05,138.65833333333333
여성,40~49,고등학교,소득없음,45.35,2.6688422345,3.8880177545,2,Unclassified,30.23333333333333,0.1511666666666666,15116.666666666668,6.409466666666663e-05,151.16666666666669
